salario_hora,no_ambos_padres_bio,educacion,edad,afqt_score,mujer,hispano,negro
22.75,0,12,47,62,0,0,0
16.48,1,16,49,22,1,0,0
4.7999999999999998,0,16,52,81,0,0,0
33.649999999999999,0,16,49,95,0,0,0
48.07,0,12,48,73,0,0,0
,0,12,47,23,1,0,0
27.300000000000001,0,12,46,37,0,0,0
31.5,0,14,49,28,0,0,0
11.15,0,15,50,32,1,0,0
14.300000000000001,0,12,48,21,0,0,0
,0,12,47,71,1,0,0
12.390000000000001,0,19,45,23,1,0,0
32.689999999999998,0,16,47,69,0,0,0
44.229999999999997,0,16,50,93,1,0,0
10.050000000000001,0,15,50,66,1,0,0
12.5,0,16,49,83,1,0,0
17.350000000000001,0,20,50,94,0,0,0
14.74,0,16,51,43,1,0,0
43.469999999999999,0,16,45,65,0,0,0
,0,13,52,33,0,0,0
20,0,14,48,23,0,0,0
55,0,16,49,51,1,0,0
20,0,18,52,97,1,0,0
10,0,14,49,30,0,0,0
31.920000000000002,0,17,51,93,0,0,0
17.75,0,16,50,46,0,0,0
88.459999999999994,0,20,50,93,0,0,0
,0,14,48,16,1,0,0
45.07,0,19,52,55,1,0,0
,1,12,49,25,1,0,1
11.550000000000001,0,12,47,23,0,0,1
14.550000000000001,0,13,45,10,0,0,1
12.41,0,13,50,18,1,0,1
7.25,0,13,46,25,1,0,1
10.23,0,15,48,41,1,1,0
,0,12,45,8,0,1,0
13.76,0,15,50,6,1,0,1
16.34,0,12,51,71,1,0,0
10.380000000000001,0,11,49,17,1,0,0
7.2999999999999998,0,12,47,33,1,0,0
9.9000000000000004,0,12,46,18,0,0,0
17.25,0,12,49,17,1,0,0
43.950000000000003,1,16,51,36,0,0,1
10.98,0,12,51,29,1,0,0
8.25,0,12,49,33,1,0,0
26,0,13,48,78,0,0,0
19.600000000000001,1,12,50,59,0,0,0
7.4400000000000004,1,12,50,26,1,0,0
12.74,0,12,47,44,1,0,0
,1,12,50,77,1,0,0
15,1,13,49,71,1,0,0
24,1,13,48,41,1,0,0
19.550000000000001,1,12,49,22,0,0,0
15,1,12,48,64,0,0,0
15.380000000000001,1,12,47,39,1,0,0
15.5,1,11,51,48,1,0,0
29.23,0,12,50,49,0,0,0
13,0,12,46,18,1,0,0
20.77,0,19,49,86,0,0,0
25,0,12,45,51,0,0,0
43.700000000000003,0,16,49,76,0,0,0
36.850000000000001,0,19,46,84,0,0,0
52.159999999999997,0,20,47,,0,0,0
56.619999999999997,0,20,45,55,1,0,0
,0,17,52,,1,0,0
45.670000000000002,0,16,50,81,0,0,0
17.579999999999998,0,16,47,59,0,0,0
13.06,0,15,45,57,1,0,0
14.9,0,19,51,99,1,0,0
4.4400000000000004,1,19,48,91,0,0,0
43.659999999999997,0,18,49,76,1,0,0
27.82,0,19,49,42,1,0,0
25.640000000000001,1,12,52,26,0,0,0
16.219999999999999,0,15,51,49,1,0,0
73.069999999999993,0,19,50,91,0,0,0
25.469999999999999,0,12,49,60,0,0,0
,0,12,47,63,1,0,0
17.350000000000001,0,12,50,47,1,0,0
14.42,0,16,48,99,1,0,0
,0,14,46,85,1,0,0
20,0,16,45,71,1,0,0
11.109999999999999,0,15,52,93,0,0,0
9.3000000000000007,1,15,48,79,1,0,0
29.550000000000001,0,17,47,76,0,0,0
,0,14,47,,0,0,0
42.299999999999997,1,19,45,89,1,0,0
2.4500000000000002,0,19,49,75,0,0,0
20,0,16,48,67,0,0,0
16.34,0,15,45,40,1,0,0
2.8199999999999998,1,16,51,88,0,0,1
16.559999999999999,0,16,52,96,1,0,0
42.299999999999997,0,20,46,84,0,0,0
41.329999999999998,0,12,48,80,1,1,0
34.020000000000003,0,15,45,85,1,1,0
19.23,0,16,50,84,0,0,0
,0,14,51,29,0,0,0
8,0,12,47,37,1,0,0
16,0,12,50,37,0,0,0
44.369999999999997,0,16,47,89,0,0,0
27.170000000000002,0,14,45,8,0,0,0
24.120000000000001,0,12,50,60,0,0,0
28,0,12,48,21,1,0,0
50.079999999999998,0,16,48,85,0,0,0
46.149999999999999,0,16,52,89,0,0,0
,0,14,50,69,1,0,0
7,0,16,48,43,1,0,0
22.109999999999999,0,12,45,56,0,0,0
19.23,0,14,51,6,1,1,0
12.800000000000001,0,12,53,70,0,0,0
17,0,12,50,22,1,0,0
16.82,0,16,52,,0,0,0
13.77,0,12,51,40,1,0,0
19.73,0,16,48,53,1,0,0
42.119999999999997,0,14,47,75,0,0,0
16.34,0,12,46,23,0,0,0
,0,12,51,21,1,0,0
37,0,13,51,44,0,0,0
23.25,1,12,49,49,1,0,0
26.440000000000001,0,18,50,99,0,0,0
14.33,0,16,51,47,0,0,0
49.700000000000003,0,13,52,91,0,0,0
50,0,12,47,40,1,0,0
16.989999999999998,0,12,45,76,1,0,0
35.25,0,12,46,30,0,0,0
1.1499999999999999,0,12,45,53,1,0,0
,1,12,51,75,1,0,0
13.08,1,16,49,77,1,0,0
19.34,0,12,51,62,0,0,0
12.880000000000001,0,13,46,48,0,0,0
2.8199999999999998,0,12,50,62,0,0,0
62.009999999999998,0,14,50,91,0,0,0
51.280000000000001,0,15,49,83,0,0,0
53.840000000000003,0,16,47,81,0,0,0
35.960000000000001,0,15,48,57,1,0,0
24.030000000000001,0,12,47,38,1,0,0
20.670000000000002,0,12,45,25,1,0,0
24.350000000000001,0,12,47,11,1,0,0
10.890000000000001,0,12,49,46,0,0,0
16.82,0,12,51,59,1,0,0
20.710000000000001,0,12,50,59,0,0,0
28.5,0,12,47,47,1,0,0
20.670000000000002,0,12,46,45,1,0,0
22.5,0,12,47,60,0,0,0
31.25,0,20,49,58,1,0,0
32,0,18,52,79,1,0,0
31.25,0,12,46,86,0,0,0
11.43,0,16,51,31,1,0,0
7.6900000000000004,0,12,50,50,1,0,0
20.899999999999999,0,12,51,45,0,0,0
16.5,0,12,49,28,1,0,0
20.550000000000001,0,12,46,39,1,0,0
9.3000000000000007,0,16,52,41,0,0,0
28.640000000000001,0,14,51,65,0,0,0
